url;paperurl;org;per;loc
http://www.bbc.co.uk/news/uk-northern-ireland-22356202;http://www.bbc.co.uk/news/;"BBC News;BBC;MLAs;DUP;MLAs;Road Haulage Association;BBC;Northern Ireland Environment Agency;NIEA;BBC";"Alex Attwood;Danny Kennedy;Kennedy;Attwood;Attwood;Attwood;Kennedy;Kennedy;Kennedy;Attwood&#039;s;Willem-Alexander";"Armagh;Armagh;Armagh;Northern Ireland;Armagh quot;It;UK;Dhaka;Netherlands 039"
http://www.bbc.co.uk/news/uk-politics-22352929;http://www.bbc.co.uk/news/;"BBC News;BBC;Press TV;Conservatives;Labour 039;s;Bush;Party;Labour 039;s;BBC;BBC;Ministry of Justice;BBC";"Ken Livingstone;Livingstone;Dzhokhar;Tamerlan Tsarnaev;Tamerlan;Dzhokhar;Livingstone;Livingstone;Grant Shapps;Ken Livingstone;Livingstone;Livingstone;Tamerlan Tsarnaev;Willem-Alexander";"Boston;Boston;Guantanamo Bay;Bagram;Afghanistan;America;Bush White House;Middle East;Boston;West quot;Conservative;Boston;West;AmericaMr;London;US;England;Wales;UK;Dhaka;Netherlands 039"
http://www.bbc.co.uk/news/world-us-canada-22358351;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC";"Barack Obama;Obama;Obama;Obama;Willem-Alexander";"Guantanamo Bay;White House;US;Guantanamo Bay;Guantanamo Bay;US;UK;Dhaka;Netherlands 039"
http://www.bbc.co.uk/news/world-asia-22359188;http://www.bbc.co.uk/news/;"BBC News;Nato;BBC;Taliban;Nato;BBC";Willem-Alexander;"Afghanistan;US;Bagram;Kabul The;UK;Dhaka;Netherlands 039"
http://www.express.co.uk/sport/football/395919/Former-Real-Madrid-star-Esteban-Granero-happy-to-stay-at-QPR;http://www.express.co.uk/;"Real Madrid;QPR;Football Sport;QPR;Bernabeu;Doncaster;Stadium;Bournemouth;Hoops;QPR;Hoops";"Esteban Granero;Esteban Granero;Granero;Keepmoat;Dean Court;Mark Hughes;Granero;Granero;Granero";"Madrid;West London;London"
http://www.express.co.uk/sport/football/395918/Manchester-City-to-up-offer-for-Roma-s-Erik-Lamela-after-opening-bid-is-rejected;http://www.express.co.uk/;"Manchester City;Roma;Football Sport;Manchester City;Roma;River Plate;Fiorentina;Manchester United;City;Manchester City";"Erik Lamela;Erik Lamela;Roberto Mancini;Lamela;Marquinhos;Mancini;Marquinhos Lamela;Alex Ferguson;Lamela";Italy
http://www.express.co.uk/news/showbiz/395916/I-don-t-want-to-be-known-as-a-rude-little-pig-Ireland-Baldwin-defends-her-father-Alec;http://www.express.co.uk/;"Showbiz;News;Daily Express;Tumblr";"Ireland Baldwin;Alec;Ireland Baldwin;Alec;Dad;Dad;Alec Baldwin;Dad;Kim Bassinger;baldwin;Kim Bassinger;Ireland Baldwin;Baldwin;Alec;Kim Basinger";"Ireland;Ireland"
http://www.express.co.uk/news/health/395917/Botox-gave-me-my-life-back-Burn-victim-makes-miraculous-recovery-with-beauty-treatment;http://www.express.co.uk/;"Health;News;Daily Express;Queen Medical";"Karen Croule;Karen Croule;Karen;Karen;Karen;Peter Brooks;Karen;Karen;Brooks;Karen Croule;Brooks";"Lincolnshire;Nottingham Queen Medical Centre;Centre;UK;US;South Africa"
http://www.express.co.uk/sport/football/395925/Spurs-ready-to-snatch-6-5m-rated-Tom-Ince-under-Liverpool-s-noses;http://www.express.co.uk/;"Spurs;Liverpool;Football Sport;Spurs;Liverpool;Reading;Reading;Blackpool;Anfield;Sky Sports;Goals;Spurs;Daily Mirror;Spurs;Spurs;Blackpool;Spurs";"Tom Ince;Tom Ince;Ince;Ince;Ince;Andre Villas-Boas;Ince;Aaron Lennon;Ince";London
http://www.express.co.uk/news/showbiz/395920/If-I-want-a-bit-of-chocolate-I-ll-have-it-Lorraine-Kelly-on-her-relationship-with-food;http://www.express.co.uk/;"Showbiz;News;Daily Express;Good Housekeeping;Good Housekeeping";"Lorraine Kelly;Lorraine Kelly;Sainsbury/GoodHousekeeping;Kelly";
http://www.express.co.uk/news/showbiz/395929/Chavalicious-Tulisa-left-red-faced-after-asking-fans-to-help-her-name-new-perfume;http://www.express.co.uk/;"Showbiz;News;Daily Express;Twitter";"Tulisa;Tulisa Contostavlos;Whiff;Tulisa";
http://www.express.co.uk/sport/football/395926/QPR-keeper-Julio-Cesar-wanted-by-Arsenal-Liverpool-and-Tottenham;http://www.express.co.uk/;"QPR;Liverpool;Tottenham;Football Sport;Daily Express;Liverpool;Spurs;Hoops;Calciomercato;QPR;QPR";"Julio Cesar;Julio Cesar;Rob Green;Cesar;Josias Cardoso;Julio;Julio Cesar";"London;Europe;Brazil"
http://www.express.co.uk/news/showbiz/395928/Reese-Witherspoon-returns-to-work-for-the-first-time-since-arrest-for-disorderly-conduct;http://www.express.co.uk/;"Showbiz News Daily Express;Good;Red";"Reese Witherspoon;Reese Witherspoon;Reese;Jim Toth;Reese Witherspoon;Reese;Reese";Georgia
http://www.express.co.uk/news/uk/395927/Unjust-America-to-blame-for-Boston-bombings-Ken-Livingstone-says;http://www.express.co.uk/;"News;Daily Express;Tory;Labour";"Ken Livingstone;Ken Livingstone;Livingstone;George W] Bush;Grant Shapps;Livingstone&rsquo;s;Ken Livingstone;Shapps";"America;Boston;UK;US;Boston;London;Guantanamo Bay ldquo;There;Bush White House;Middle East;Guantanamo Bay;Baghram;America;US;Boston;Boston;Boston;Russia;Africa;Asia;Middle East"
http://www.express.co.uk/sport/football/395932/Fulham-boss-Martin-Jol-targets-new-signings;http://www.express.co.uk/;"Fulham;Football;Sport;Fulham";"Martin Jol;Martin Jol;Jol;Jol;Mladen Petric;Jol;Mladen Petric;Hugo Rodallega";
http://www.express.co.uk/sport/football/395935/Borussia-Dortmund-coach-Jurgen-Klopp-angrily-hits-back-at-Jose-Mourinho-exit-reports;http://www.express.co.uk/;"Borussia Dortmund;Football Sport;Daily Express;Real Madrid;Chelsea;Bild;Chelsea-bound;Dortmund;Real";"Jurgen Klopp;Jose Mourinho;Jurgen Klopp;Mourinho;Florentino Perez;Special;Klopp;Mourinho;Mourinho;Klopp;Jose Mourinho;Fortuna;Mourinho";"Stamford Bridge;Westfalenstadion"
http://www.express.co.uk/news/uk/395934/April-Jones-murder-was-a-cruel-game-that-was-sexually-motivated-court-hears;http://www.express.co.uk/;"UK News;Daily Express";"April Jones;Mark Bridger;Mark Bridger;April;Elwen Evans;Bridger;April;April;April Jones;Bridger;April;Bridger;Holly Wells;Jessica Chapman;Soham;Mark Bridger;Evans;Mark Bridger;April;Coral;Paul Jones;April Jones;April;Mark Bridger;April Jones";"Machynlleth;Mid Wales Bridger;Mold Crown Court;Land Rover;Mold Crown Court;Mold Crown Court"
http://www.express.co.uk/sport/football/395936/Manchester-City-meet-with-agent-of-Malaga-manager-Manuel-Pellegrini;http://www.express.co.uk/;"Manchester City;Malaga;Football Sport;Daily Express;Manchester City;Manchester United;Citizens board;City;Wigan;City of Manchester Stadium;Malaga;City";"Manuel Pellegrini;Manuel Pellegrini;Roberto Mancini;Mancini;Mancini;Pellegrini;Mancini;Txiki Begiristain;Jesus Martinez;Pellegrini;Mancini;Pellegrini";"Spain;Madrid;Porto"
http://www.express.co.uk/news/uk/395933/Measles-epidemic-cases-soar-past-1-000-as-outbreak-continues;http://www.express.co.uk/;"News;Daily Express;Public Health Wales;Public Health Wales;University Health Board;Department of Health";"Marion Lyons;Lyons";"UK;Wales;Swansea;Wales;Wales;Abertawe Bro Morgannwg;Wales;Wales;England"
